x	y	z	Phi	Fx	Fy	Fz	Rho
0	0.050996583	0	-3.5680654	-8.856321e-17	4.3155484	0	16.15225
0	0.058344535	0	-3.53657	-8.7182099e-17	4.2572393	0	13.840034
0	0.066607146	0	-3.5016601	-8.5668749e-17	4.1930774	0	11.855677
0	0.07589827	0	-3.4630294	-8.401541e-17	4.1229055	0	10.153724
0	0.086345935	0	-3.4203562	-8.2215568e-17	4.0464389	0	8.6846439
0	0.098094103	0	-3.3733104	-8.0263922e-17	3.9630134	0	7.4138341
0	0.11130466	0	-3.3215584	-7.8156104e-17	3.8726212	0	6.3215727
0	0.12615964	0	-3.2647582	-7.5886924e-17	3.7753733	0	5.3755041
0	0.14286374	0	-3.2025751	-7.3452507e-17	3.6706201	0	4.5551223
0	0.16164713	0	-3.1346934	-7.0852448e-17	3.5582823	0	3.8497613
0	0.18276864	0	-3.0608087	-6.8097394e-17	3.4390072	0	3.2409341
0	0.20651932	0	-2.980649	-6.5205484e-17	3.3122815	0	2.7147871
0	0.23322643	0	-2.894	-6.2197471e-17	3.178175	0	2.2672274
0	0.26325798	0	-2.8006701	-5.9072821e-17	3.0392126	0	1.8873606
0	0.29702781	0	-2.7004999	-5.5811962e-17	2.8952459	0	1.5601795
0	0.33500124	0	-2.593433	-5.2401416e-17	2.7458203	0	1.2795936
0	0.37770152	0	-2.4795165	-4.8887224e-17	2.5921985	0	1.0428614
0	0.42571705	0	-2.3588909	-4.5418894e-17	2.4346349	0	0.84275559
0	0.47970945	0	-2.2318727	-4.2139036e-17	2.2728574	0	0.67605825
0	0.54042272	0	-2.098898	-3.9094085e-17	2.1120067	0	0.55344713
0	0.60869346	0	-1.9600832	-3.5983321e-17	1.9587878	0	0.45168225
0	0.6854624	0	-1.8154856	-3.2494874e-17	1.8121479	0	0.36271507
0	0.77178738	0	-1.6654684	-2.8458061e-17	1.6616407	0	0.2551647
0	0.86885792	0	-1.5132094	-2.4014917e-17	1.4734307	0	0.1515305
0	0.97801162	0	-1.3641072	-1.9467978e-17	1.2599731	0	0.076689446
0	1.1007525	0	-1.2233225	-1.506352e-17	1.0389514	0	0.031741654
0	1.238772	0	-1.0941909	-1.1056566e-17	0.84168957	0	0.016201923
0	1.3939719	0	-0.97700899	-7.7289418e-18	0.67679149	0	0.0079147474
0	1.5684907	0	-0.87134779	-5.2126882e-18	0.54136644	0	0.0038245898
0	1.7647333	0	-0.77647266	-3.4877529e-18	0.43158932	0	0.0017754043
0	1.9854037	0	-0.69153493	-2.3436708e-18	0.34319381	0	0.00080859654
0	2.2335428	0	-0.61565089	-1.5791035e-18	0.27247125	0	0.00038577704
0	2.5125697	0	-0.54793621	-1.0567173e-18	0.21612484	0	0.00017339267
0	2.8263293	0	-0.48757208	-6.9641316e-19	0.17124046	0	6.4666415e-05
0	3.1791452	0	-0.43381081	-4.5207321e-19	0.13558648	0	2.5565165e-05
0	3.5758788	0	-0.38595053	-2.8987751e-19	0.10734213	0	2.3493648e-05
0	4.021997	0	-0.34333734	-1.847613e-19	0.084996829	0	1.0891537e-05
0	4.5236471	0	-0.30540075	-1.1734975e-19	0.06728222	0	5.0497738e-06
0	5.0877416	0	-0.27163675	-7.4324172e-20	0.053246884	0	2.3414867e-06
0	5.7220535	0	-0.24159274	-4.6966792e-20	0.042131661	0	1.0857853e-06
0	6.4353232	0	-0.21486317	-2.9624503e-20	0.033332066	0	5.0353032e-07
0	7.2373793	0	-0.1910853	-1.8657746e-20	0.026367545	0	2.3352555e-07
0	8.1392738	0	-0.16993515	-1.1736387e-20	0.020856538	0	1.0830996e-07
0	9.1534343	0	-0.15112364	-7.375187e-21	0.016496375	0	5.0237257e-08
0	10.293835	0	-0.13439308	-4.6307686e-21	0.013047138	0	2.3302656e-08
0	11.576191	0	-0.11951383	-2.9056156e-21	0.010318764	0	1.0809495e-08
0	13.018172	0	-0.10628142	-1.8221338e-21	0.0081607415	0	5.0144623e-09
0	14.639648	0	-0.094513821	-1.1421469e-21	0.0064539289	0	2.3262742e-09
0	16.462963	0	-0.084049024	-7.156461e-22	0.0051040346	0	1.0792291e-09
0	18.513239	0	-0.074742887	-4.4826833e-22	0.0040364506	0	5.0070421e-10
0	20.81873	0	-0.066467177	-2.8071458e-22	0.003192152	0	2.3230708e-10
0	23.411204	0	-0.059107826	-1.7575134e-22	0.0025244475	0	1.0778443e-10
0	26.326383	0	-0.052563378	-1.1001584e-22	0.001996405	0	5.0010468e-11
0	29.604439	0	-0.046743603	-6.8857008e-23	0.0015788142	0	2.3204704e-11
0	33.29054	0	-0.041568252	-4.3091184e-23	0.0012485725	0	1.0767141e-11
0	37.43548	0	-0.036965964	-2.6964056e-23	0.00098740921	0	4.9961233e-12
0	42.096373	0	-0.032873278	-1.6871206e-23	0.0007808747	0	2.3183203e-12
0	47.337445	0	-0.029233758	-1.0555465e-23	0.00061754187	0	1.0757727e-12
0	53.230915	0	-0.025997221	-6.6036521e-24	0.00048837383	0	4.9919899e-13
0	59.857993	0	-0.023119042	-4.1311487e-24	0.00038622402	0	2.3165003e-13
0	67.309996	0	-0.020559535	-2.5842877e-24	0.00030544083	0	1.074969e-13
0	75.689609	0	-0.018283414	-1.6165801e-24	0.00024155486	0	4.9884305e-14
0	85.1123	0	-0.016259297	-1.0112123e-24	0.00019103164	0	2.3149193e-14
0	95.707908	0	-0.014459281	-6.3252574e-25	0.00015107604	0	1.0742647e-14
0	107.62244	0	-0.012858552	-3.9564574e-25	0.00011947764	0	4.9852842e-15
0	121.02006	0	-0.011435042	-2.4747342e-25	9.448837e-05	0	2.3135098e-15
0	136.0854	0	-0.010169131	-1.5479095e-25	7.4725822e-05	0	1.0736316e-15
0	153.02603	0	-0.0090433682	-9.681851e-26	5.9096752e-05	0	4.9824332e-16
0	172.07541	0	-0.0080422369	-6.0557487e-26	4.6736592e-05	0	2.3122227e-16
0	193.49601	0	-0.0071519384	-3.7876909e-26	3.6961616e-05	0	1.0730492e-16
0	217.583	0	-0.0063602018	-2.369076e-26	2.9231109e-05	0	4.9797918e-17
0	244.6683	0	-0.0056561149	-1.4817728e-26	2.3117455e-05	0	2.3110228e-17
0	275.12512	0	-0.005029974	-9.2679312e-27	1.828248e-05	0	1.072503e-17
0	309.37314	0	-0.0044731495	-5.7967264e-27	1.4458742e-05	0	4.9773009e-18
0	347.88429	0	-0.0039779676	-3.6256164e-27	1.1434737e-05	0	2.3098834e-18
0	391.18923	0	-0.0035376038	-2.2676716e-27	9.0431995e-06	0	1.0719828e-18
0	439.88468	0	-0.0031459895	-1.4183318e-27	7.151848e-06	0	4.9749183e-19
0	494.64164	0	-0.0027977277	-8.8710511e-28	5.6560683e-06	0	2.3087889e-19
0	556.21464	0	-0.0024880191	-5.5484533e-28	4.4731267e-06	0	1.0714772e-19
0	625.45212	0	-0.0022125957	-3.4703119e-28	3.5375935e-06	0	4.9725924e-20
0	703.30814	0	-0.001967662	-2.1705253e-28	2.7977235e-06	0	2.3077303e-20
0	790.85553	0	-0.0017498426	-1.3575663e-28	2.2125943e-06	0	1.0709918e-20
0	889.30064	0	-0.001556136	-8.4909658e-29	1.7498423e-06	0	4.9704365e-21
0	1000	0	-0.0013838728	-5.3107158e-29	1.3838727e-06	0	2.3067119e-21

0	0	0.001	-3.7928313	0	0	6.3439602	501.55707
0	0	0.002124478	-3.78571	0	0	6.3218477	234.57819
0	0	0.0033889288	-3.7777318	0	0	6.297375	146.04864
0	0	0.0048107758	-3.7687974	0	0	6.2700552	102.08663
0	0	0.0064096115	-3.758797	0	0	6.2395656	75.962748
0	0	0.0082074671	-3.7476097	0	0	6.205605	58.748397
0	0	0.010229116	-3.7351024	0	0	6.1678252	46.630542
0	0	0.012502416	-3.7211289	0	0	6.1258282	37.68998
0	0	0.015058692	-3.7055293	0	0	6.0792223	30.872931
0	0	0.017933167	-3.6881292	0	0	6.027594	25.534707
0	0	0.021165452	-3.6687389	0	0	5.9704356	21.273889
0	0	0.024800085	-3.6471535	0	0	5.9073853	17.819139
0	0	0.02888715	-3.6231522	0	0	5.8378735	14.980018
0	0	0.033482964	-3.5964988	0	0	5.7614495	12.628928
0	0	0.038650857	-3.5669415	0	0	5.6777047	10.662046
0	0	0.044462038	-3.534215	0	0	5.5860299	9.0056656
0	0	0.050996583	-3.498041	0	0	5.4861373	7.6095559
0	0	0.058344535	-3.45813	0	0	5.3776915	6.4233205
0	0	0.066607146	-3.4141848	0	0	5.2601727	5.4126629
0	0	0.07589827	-3.365905	0	0	5.1334601	4.5543971
0	0	0.086345935	-3.3129887	0	0	4.9973968	3.8205846
0	0	0.098094103	-3.2551416	0	0	4.8516571	3.1927326
0	0	0.11130466	-3.1920826	0	0	4.6967262	2.6647328
0	0	0.12615964	-3.1235396	0	0	4.5333533	2.2151642
0	0	0.14286374	-3.0492647	0	0	4.36164	1.8327715
0	0	0.16164713	-2.9690478	0	0	4.1817867	1.5072339
0	0	0.18276864	-2.8827315	0	0	3.993855	1.2296441
0	0	0.20651932	-2.7902301	0	0	3.7980722	0.99333724
0	0	0.23322643	-2.6915395	0	0	3.5960407	0.80605648
0	0	0.26325798	-2.5866294	0	0	3.3949287	0.66226654
0	0	0.29702781	-2.4754088	0	0	3.1964182	0.54466842
0	0	0.33500124	-2.3578239	0	0	3.0005048	0.4389454
0	0	0.37770152	-2.2341552	0	0	2.7929769	0.31754056
