x	y	z	Phi	Fx	Fy	Fz	Rho
0	0.18276864	0	-0.98322171	-1.2208886e-17	0.65606063	0	0.43198406
0	0.20651932	0	-0.96791682	-1.1703182e-17	0.63297082	0	0.36220028
0	0.23322643	0	-0.95134086	-1.117275e-17	0.60861339	0	0.30232301
0	0.26325798	0	-0.93345163	-1.0619972e-17	0.58305524	0	0.25108621
0	0.29702781	0	-0.91421805	-1.0047996e-17	0.55638881	0	0.20740144
0	0.33500124	0	-0.89362202	-9.4606281e-18	0.52877309	0	0.17049632
0	0.37770152	0	-0.87165845	-8.8618739e-18	0.50039984	0	0.13933129
0	0.42571705	0	-0.84833855	-8.2562593e-18	0.47142976	0	0.1131367
0	0.47970945	0	-0.82369229	-7.648893e-18	0.44204458	0	0.091243843
0	0.54042272	0	-0.79776889	-7.0452311e-18	0.41249303	0	0.073193559
0	0.60869346	0	-0.77063415	-6.4506143e-18	0.38303033	0	0.058300503
0	0.6854624	0	-0.74237346	-5.8704002e-18	0.35385876	0	0.046091862
0	0.77178738	0	-0.71309284	-5.3098607e-18	0.32518232	0	0.036155255
0	0.86885792	0	-0.68291486	-4.773614e-18	0.29730165	0	0.028297034
0	0.97801162	0	-0.65196616	-4.2645263e-18	0.2704757	0	0.021989221
0	1.1007525	0	-0.62038517	-3.7848988e-18	0.24482731	0	0.016959014
0	1.238772	0	-0.58832385	-3.3367266e-18	0.2204619	0	0.012975957
0	1.3939719	0	-0.55594526	-2.9219745e-18	0.19747475	0	0.0098541212
0	1.5684907	0	-0.52341975	-2.5433968e-18	0.17593671	0	0.0074170991
0	1.7647333	0	-0.49092375	-2.2027504e-18	0.15588769	0	0.0055293143
0	1.9854037	0	-0.45863729	-1.9003938e-18	0.1373485	0	0.0040791182
0	2.2335428	0	-0.42672054	-1.6342512e-18	0.12055429	0	0.0031245131
0	2.5125697	0	-0.39525023	-1.3974259e-18	0.10559673	0	0.0023781745
0	2.8263293	0	-0.36429178	-1.1840755e-18	0.092254735	0	0.0017926711
0	3.1791452	0	-0.33392618	-9.9055185e-19	0.080333051	0	0.001334553
0	3.5758788	0	-0.30430901	-8.1497051e-19	0.069250461	0	0.00081289101
0	4.021997	0	-0.275838	-6.569471e-19	0.058712223	0	0.00045907283
0	4.5236471	0	-0.24890705	-5.1648348e-19	0.049003404	0	0.00023448643
0	5.0877416	0	-0.22381628	-3.9347285e-19	0.040304158	0	0.00010027202
0	5.7220535	0	-0.20074707	-2.8827721e-19	0.032798537	0	5.0813831e-05
0	6.4353232	0	-0.17970172	-2.0327218e-19	0.026527878	0	2.4386817e-05
0	7.2373793	0	-0.1606138	-1.3867257e-19	0.021338442	0	1.0149693e-05
0	8.1392738	0	-0.14339092	-9.2513731e-20	0.017080656	0	2.8111749e-06
0	9.1534343	0	-0.1279177	-6.1475315e-20	0.013626116	0	1.1390418e-06
0	10.293835	0	-0.11404959	-4.0917359e-20	0.010851668	0	4.8643398e-07
0	11.576191	0	-0.10163877	-2.7193233e-20	0.0086308031	0	2.1980656e-07
0	13.018172	0	-0.090544869	-1.7892736e-20	0.0068576588	0	1.335243e-07
0	14.639648	0	-0.080634711	-1.1583589e-20	0.0054468976	0	1.7225672e-07
0	16.462963	0	-0.071787241	-7.441936e-21	0.0043224819	0	7.7387727e-08
0	18.513239	0	-0.063895239	-4.7537071e-21	0.003427606	0	3.4756337e-08
0	20.81873	0	-0.056860207	-3.023115e-21	0.0027164074	0	1.560581e-08
0	23.411204	0	-0.050592336	-1.9159317e-21	0.0021517963	0	7.0056788e-09
0	26.326383	0	-0.045010227	-1.2109676e-21	0.0017039348	0	3.1444414e-09
0	29.604439	0	-0.04004042	-7.6376701e-22	0.0013489133	0	1.4111751e-09
0	33.29054	0	-0.035616848	-4.809035e-22	0.0010676295	0	6.332489e-10
0	37.43548	0	-0.031680233	-3.023947e-22	0.0008448567	0	2.8414093e-10
0	42.096373	0	-0.028177503	-1.8994501e-22	0.00066847862	0	1.2748724e-10
0	47.337445	0	-0.025061205	-1.1920994e-22	0.00052886705	0	5.719781e-11
0	53.230915	0	-0.022288966	-7.4765621e-23	0.00041837899	0	2.5661182e-11
0	59.857993	0	-0.019822979	-4.686571e-23	0.00033095222	0	1.1512306e-11
0	67.309996	0	-0.017629538	-2.9364267e-23	0.00026178145	0	5.1646318e-12
0	75.689609	0	-0.015678608	-1.8392101e-23	0.00020705958	0	2.3169149e-12
0	85.1123	0	-0.013943437	-1.1516531e-23	0.00016377154	0	1.0393846e-12
0	95.707908	0	-0.012400205	-7.2096517e-24	0.00012953022	0	4.6627192e-13
0	107.62244	0	-0.011027711	-4.5126159e-24	0.00010244614	0	2.0917035e-13
0	121.02006	0	-0.0098070844	-2.8240957e-24	8.1024022e-05	0	9.3833866e-14
0	136.0854	0	-0.0087215354	-1.767176e-24	6.4080673e-05	0	4.2093818e-14
0	153.02603	0	-0.0077561256	-1.1057057e-24	5.0679991e-05	0	1.8883247e-14
0	172.07541	0	-0.0068975657	-6.9177788e-25	4.0081415e-05	0	8.4710058e-15
0	193.49601	0	-0.0061340342	-4.3278039e-25	3.1699127e-05	0	3.8000863e-15
0	217.583	0	-0.0054550163	-2.7073689e-25	2.506974e-05	0	1.7047169e-15
0	244.6683	0	-0.0048511593	-1.6935984e-25	1.9826727e-05	0	7.6473595e-16
0	275.12512	0	-0.0043141452	-1.0593999e-25	1.5680186e-05	0	3.430609e-16
0	309.37314	0	-0.0038365758	-6.6267187e-26	1.2400827e-05	0	1.5389746e-16
0	347.88429	0	-0.0034118716	-4.1450376e-26	9.8073019e-06	0	6.9038638e-17
0	391.18923	0	-0.0030341809	-2.5926952e-26	7.7561823e-06	0	3.0970876e-17
0	439.88468	0	-0.0026982999	-1.6216939e-26	6.134034e-06	0	1.3893615e-17
0	494.64164	0	-0.0023996004	-1.0143361e-26	4.8511436e-06	0	6.232719e-18
0	556.21464	0	-0.0021339665	-6.3444111e-27	3.8365595e-06	0	2.7960199e-18
0	625.45212	0	-0.0018977382	-3.9682399e-27	3.0341682e-06	0	1.2543058e-18
0	703.30814	0	-0.0016876601	-2.4820029e-27	2.3995914e-06	0	5.626872e-19
0	790.85553	0	-0.0015008375	-1.5524043e-27	1.8977322e-06	0	2.5242412e-19
0	889.30064	0	-0.0013346961	-9.709704e-28	1.5008335e-06	0	1.1323879e-19
0	1000	0	-0.0011869465	-6.0730381e-28	1.1869437e-06	0	5.0799519e-20

0	0	0.001	-1.1220943	0	0	0.93724262	113.98891
0	0	0.002124478	-1.1210415	0	0	0.93509774	53.438873
0	0	0.0033889288	-1.1198607	0	0	0.93268708	33.368119
0	0	0.0048107758	-1.1185364	0	0	0.93002175	23.397792
0	0	0.0064096115	-1.1170519	0	0	0.92702392	17.470937
0	0	0.0082074671	-1.1153882	0	0	0.92366925	13.565334
0	0	0.010229116	-1.1135247	0	0	0.9199282	10.814421
0	0	0.012502416	-1.1114382	0	0	0.91575125	8.783937
0	0	0.015058692	-1.1091032	0	0	0.91109133	7.2338985
0	0	0.017933167	-1.1064918	0	0	0.90590448	6.0194501
0	0	0.021165452	-1.103573	0	0	0.90012766	5.0484532
0	0	0.024800085	-1.1003131	0	0	0.89370711	4.2598707
0	0	0.02888715	-1.096675	0	0	0.88658676	3.6110005
0	0	0.033482964	-1.0926186	0	0	0.87869117	3.0713228
0	0	0.038650857	-1.0881003	0	0	0.86995438	2.6188194
0	0	0.044462038	-1.0830729	0	0	0.86031233	2.2367528
0	0	0.050996583	-1.077486	0	0	0.84968756	1.9120298
0	0	0.058344535	-1.0712856	0	0	0.83800222	1.6349696
0	0	0.066607146	-1.0644147	0	0	0.82518983	1.3977123
0	0	0.07589827	-1.0568132	0	0	0.81118465	1.1939027
0	0	0.086345935	-1.0484184	0	0	0.79591381	1.0184204
0	0	0.098094103	-1.0391659	0	0	0.77932016	0.86718221
0	0	0.11130466	-1.0289901	0	0	0.76135831	0.73674783
0	0	0.12615964	-1.017825	0	0	0.74199447	0.62424391
0	0	0.14286374	-1.0056057	0	0	0.72120847	0.52725531
0	0	0.16164713	-0.99226938	0	0	0.69899773	0.44373993
0	0	0.18276864	-0.97775734	0	0	0.67538044	0.37195289
0	0	0.20651932	-0.96201636	0	0	0.65040738	0.31046583
0	0	0.23322643	-0.94500046	0	0	0.62416023	0.25790783
0	0	0.26325798	-0.92667306	0	0	0.59673073	0.21312909
0	0	0.29702781	-0.90700927	0	0	0.56823851	0.1751341
0	0	0.33500124	-0.88599758	0	0	0.53885983	0.14317623
0	0	0.37770152	-0.86364036	0	0	0.50879924	0.11633442
0	0	0.42571705	-0.83995643	0	0	0.4782434	0.093907758
0	0	0.47970945	-0.81498308	0	0	0.44739846	0.075283519
0	0	0.54042272	-0.78877617	0	0	0.41652813	0.06003373
0	0	0.60869346	-0.76140748	0	0	0.38589789	0.047537355
0	0	0.6854624	-0.73296701	0	0	0.35572258	0.037364572
0	0	0.77178738	-0.7035634	0	0	0.32621311	0.029142066
0	0	0.86885792	-0.67332065	0	0	0.29763562	0.022653404
0	0	0.97801162	-0.64236954	0	0	0.27021472	0.017479193
0	0	1.1007525	-0.61085237	0	0	0.24407524	0.01338304
0	0	1.238772	-0.57892334	0	0	0.21932145	0.010164954
0	0	1.3939719	-0.54674315	0	0	0.19609572	0.0077175472
0	0	1.5684907	-0.51446617	0	0	0.17449483	0.005814769
0	0	1.7647333	-0.48224763	0	0	0.15451979	0.0043403397
0	0	1.9854037	-0.45024515	0	0	0.13615245	0.0032028629
0	0	2.2335428	-0.41860864	0	0	0.11945235	0.0023916779
0	0	2.5125697	-0.387455	0	0	0.10440728	0.0017671234
0	0	2.8263293	-0.35689844	0	0	0.090875038	0.0012924091
0	0	3.1791452	-0.32706017	0	0	0.078726567	0.00093669217
0	0	3.5758788	-0.29811284	0	0	0.067515923	0.00054116811
0	0	4.021997	-0.27041181	0	0	0.057016576	0.00028263657
0	0	4.5236471	-0.24429752	0	0	0.047453707	0.00012515834
0	0	5.0877416	-0.22002394	0	0	0.038958774	3.5684933e-05
0	0	5.7220535	-0.19773293	0	0	0.031690596	1.738444e-05
0	0	6.4353232	-0.17738694	0	0	0.025669209	9.3475812e-06
0	0	7.2373793	-0.15889051	0	0	0.020713451	5.2269799e-06
0	0	8.1392738	-0.14213526	0	0	0.016658868	2.9876065e-06
0	0	9.1534343	-0.12700524	0	0	0.013356921	1.2514786e-06
0	0	10.293835	-0.11338363	0	0	0.010679131	3.3057906e-07
0	0	11.576191	-0.10115191	0	0	0.0085179493	0
0	0	13.018172	-0.090192116	0	0	0.0067806929	0
0	0	14.639648	-0.080383181	0	0	0.0053971458	1.6775466e-07
0	0	16.462963	-0.071608423	0	0	0.0042907982	7.5454718e-08
0	0	18.513239	-0.063768393	0	0	0.0034075051	3.392082e-08
0	0	20.81873	-0.056770384	0	0	0.0027036924	1.5242479e-08
0	0	23.411204	-0.050528817	0	0	0.0021437719	6.8468374e-09
0	0	26.326383	-0.044965358	0	0	0.0016988799	3.0746789e-09
0	0	29.604439	-0.040008754	0	0	0.0013457335	1.380416e-09
0	0	33.29054	-0.035594514	0	0	0.0010656316	6.1964252e-10
0	0	37.43548	-0.03166449	0	0	0.00084360255	2.7810585e-10
0	0	42.096373	-0.028166411	0	0	0.0006676919	1.2480446e-10
0	0	47.337445	-0.025053393	0	0	0.00052837384	5.6003079e-11
0	0	53.230915	-0.022283465	0	0	0.00041806993	2.5128351e-11
0	0	59.857993	-0.019819107	0	0	0.00033075863	1.1274392e-11
0	0	67.309996	-0.017626813	0	0	0.00026166022	5.0583004e-12
0	0	75.689609	-0.01567669	0	0	0.00020698369	2.269356e-12
0	0	85.1123	-0.013942087	0	0	0.00016372403	1.0180999e-12
0	0	95.707908	-0.012399256	0	0	0.00012950048	4.5674155e-13
0	0	107.62244	-0.011027043	0	0	0.00010242754	2.049014e-13
0	0	121.02006	-0.0098066145	0	0	8.101238e-05	9.1921081e-14
0	0	136.0854	-0.0087212049	0	0	6.407339e-05	4.1236549e-14
0	0	153.02603	-0.0077558931	0	0	5.0675434e-05	1.8498963e-14
0	0	172.07541	-0.0068974021	0	0	4.0078565e-05	8.2987177e-15
0	0	193.49601	-0.0061339192	0	0	3.1697344e-05	3.722834e-15
0	0	217.583	-0.0054549354	0	0	2.5068624e-05	1.6700743e-15
0	0	244.6683	-0.0048511024	0	0	1.9826029e-05	7.4919982e-16
0	0	275.12512	-0.0043141052	0	0	1.567975e-05	3.36093e-16
0	0	309.37314	-0.0038365476	0	0	1.2400554e-05	1.5077222e-16
0	0	347.88429	-0.0034118518	0	0	9.8071311e-06	6.7636853e-17
0	0	391.18923	-0.003034167	0	0	7.7560755e-06	3.0342105e-17
0	0	439.88468	-0.0026982901	0	0	6.1339672e-06	1.3611572e-17
0	0	494.64164	-0.0023995935	0	0	4.8511018e-06	6.1062026e-18
0	0	556.21464	-0.0021339617	0	0	3.8365334e-06	2.7392674e-18
0	0	625.45212	-0.0018977348	0	0	3.0341518e-06	1.2288475e-18
0	0	703.30814	-0.0016876577	0	0	2.3995812e-06	5.5126692e-19
0	0	790.85553	-0.0015008359	0	0	1.8977258e-06	2.4730107e-19
0	0	889.30064	-0.001334695	0	0	1.5008295e-06	1.1094061e-19
0	0	1000	-0.0011869457	0	0	1.1869412e-06	4.9768563e-20

0.0007	0.0007	0	-1.1222224	0.46482902	0.69144533	0	149.29026
0.0014871346	0.0014871346	0	-1.1213131	0.46401143	0.69011082	0	70.047469
0.0023722501	0.0023722501	0	-1.1202926	0.46306211	0.68860336	0	43.781057
0.0033675431	0.0033675431	0	-1.1191477	0.46203585	0.68694875	0	30.732642
0.0044867281	0.0044867281	0	-1.1178635	0.46087013	0.68507856	0	22.975316
0.005745227	0.005745227	0	-1.1164235	0.45956145	0.68298267	0	17.863305
0.0071603813	0.0071603813	0	-1.1148093	0.45810258	0.68064399	0	14.262298
0.0087516912	0.0087516912	0	-1.1130005	0.45647161	0.67802997	0	11.604055
0.010541084	0.010541084	0	-1.1109747	0.45464753	0.67510845	0	9.5743444
0.012553217	0.012553217	0	-1.1087068	0.45261419	0.67185118	0	7.9837355
0.014815816	0.014815816	0	-1.1061693	0.45034298	0.66821636	0	6.7116124
0.01736006	0.01736006	0	-1.1033318	0.44781182	0.66416766	0	5.6780076
0.020221005	0.020221005	0	-1.100161	0.44499856	0.65966758	0	4.8271192
0.023438075	0.023438075	0	-1.0966203	0.44186793	0.65466456	0	4.1189795
0.0270556	0.0270556	0	-1.0926699	0.43839046	0.64911193	0	3.524705
0.031123426	0.031123426	0	-1.0882666	0.43453864	0.64296414	0	3.0223917
0.035697608	0.035697608	0	-1.0833632	0.43027644	0.63616652	0	2.5950083
0.040841175	0.040841175	0	-1.0779094	0.42556452	0.62866061	0	2.2297559
0.046625002	0.046625002	0	-1.071851	0.42037055	0.62039492	0	1.9163577
0.053128789	0.053128789	0	-1.0651304	0.41466081	0.61131687	0	1.6465364
0.060442154	0.060442154	0	-1.0576866	0.40839476	0.60136778	0	1.4135906
0.068665872	0.068665872	0	-1.0494559	0.40153723	0.59049562	0	1.2121506
0.077913262	0.077913262	0	-1.040372	0.39405622	0.57865365	0	1.0377225
0.088311749	0.088311749	0	-1.0303671	0.38592287	0.56580112	0	0.88659496
0.10000462	0.10000462	0	-1.0193723	0.37711506	0.55190748	0	0.75562249
0.11315299	0.11315299	0	-1.0073192	0.3676113	0.53694725	0	0.64213483
0.12793805	0.12793805	0	-0.99414093	0.35739517	0.52090573	0	0.54387712
0.14456352	0.14456352	0	-0.97977401	0.34646651	0.50379108	0	0.45904003
0.1632585	0.1632585	0	-0.96415953	0.33484672	0.48563931	0	0.38587468
0.18428059	0.18428059	0	-0.94724541	0.32254607	0.46648306	0	0.32289642
0.20791947	0.20791947	0	-0.92898908	0.30958475	0.44637379	0	0.26884673
0.23450087	0.23450087	0	-0.90935956	0.29602376	0.42541266	0	0.22283126
0.26439106	0.26439106	0	-0.88833741	0.28195686	0.4037404	0	0.18368698
0.29800193	0.29800193	0	-0.86591822	0.26743938	0.38146711	0	0.15050613
0.33579661	0.33579661	0	-0.84211598	0.2525379	0.35872188	0	0.12252128
0.3782959	0.3782959	0	-0.81696441	0.23736686	0.33568689	0	0.099202096
0.42608542	0.42608542	0	-0.7905141	0.22206475	0.31256731	0	0.079782881
0.47982368	0.47982368	0	-0.76283626	0.20672213	0.28952145	0	0.063700183
0.54025117	0.54025117	0	-0.73402512	0.19143571	0.26671453	0	0.050473091
0.60820055	0.60820055	0	-0.70419481	0.17638115	0.24438868	0	0.039867979
0.68460813	0.68460813	0	-0.67346418	0.16174237	0.22278857	0	0.031281405
0.77052678	0.77052678	0	-0.64196529	0.14758158	0.20203013	0	0.02435922
0.86714041	0.86714041	0	-0.60984741	0.13395729	0.18221689	0	0.018817397
0.9757803	0.9757803	0	-0.5772756	0.12092234	0.16343372	0	0.014408566
1.0979435	1.0979435	0	-0.54442943	0.1085303	0.14574272	0	0.010936143
1.2353133	1.2353133	0	-0.5114994	0.096833612	0.12919578	0	0.0082283029
1.3897826	1.3897826	0	-0.47868277	0.085874788	0.1138308	0	0.0061378428
1.5634799	1.5634799	0	-0.44615983	0.07585969	0.099848617	0	0.004715712
1.7587988	1.7587988	0	-0.41400711	0.066942716	0.087411121	0	0.0036157616
1.9784305	1.9784305	0	-0.382278	0.058957914	0.076348699	0	0.0027448216
2.2254016	2.2254016	0	-0.35104496	0.051765613	0.066501544	0	0.002054492
2.5031151	2.5031151	0	-0.32043755	0.045065103	0.057517327	0	0.0013852389
2.8153979	2.8153979	0	-0.29078979	0.038678091	0.049077244	0	0.00089279447
3.166553	3.166553	0	-0.26245889	0.032802831	0.041279646	0	0.00055457485
3.5614191	3.5614191	0	-0.23573281	0.027556223	0.034206551	0	0.00033063329
4.0054374	4.0054374	0	-0.21083033	0.022950968	0.027893586	0	0.0001779601
4.5047263	4.5047263	0	-0.18793056	0.018913128	0.022391089	0	8.5323383e-05
5.0661655	5.0661655	0	-0.16713877	0.015407556	0.017740638	0	3.2936229e-05
5.6974917	5.6974917	0	-0.14847904	0.012398339	0.013910808	0	5.4012907e-06
