R/R500   log(R/R500)    P/P500    log(P/P500)  RhoGas   TGas
0.052580  -1.279   42.112066  1.624  2.16e-26   30.2 
0.054782  -1.261   41.642365  1.620  2.12e-26   30.4 
0.057072  -1.244   41.153607  1.614  2.08e-26   30.7 
0.059467  -1.226   40.677596  1.609  2.04e-26   30.9 
0.061951  -1.208   40.192561  1.604  2e-26   31.2 
0.064554  -1.190   39.671103  1.598  1.95e-26   31.5 
0.067246  -1.172   39.149548  1.593  1.91e-26   31.8 
0.070072  -1.154   38.642172  1.587  1.86e-26   32.2 
0.073002  -1.137   38.106818  1.581  1.82e-26   32.5 
0.076066  -1.119   37.563156  1.575  1.77e-26   32.9 
0.079249  -1.101   37.021454  1.568  1.73e-26   33.2 
0.082566  -1.083   36.479972  1.562  1.68e-26   33.6 
0.086032  -1.065   35.915846  1.555  1.64e-26   34 
0.089632  -1.048   35.349618  1.548  1.59e-26   34.4 
0.093380  -1.030   34.792040  1.541  1.55e-26   34.8 
0.097292  -1.012   34.220322  1.534  1.5e-26   35.3 
0.101367  -0.994   33.633611  1.527  1.46e-26   35.7 
0.105621  -0.976   33.054384  1.519  1.42e-26   36.2 
0.110039  -0.958   32.482678  1.512  1.38e-26   36.6 
0.114650  -0.941   31.894645  1.504  1.33e-26   37.1 
0.119454  -0.923   31.289472  1.495  1.29e-26   37.6 
0.124452  -0.905   30.707380  1.487  1.25e-26   38 
0.129673  -0.887   30.108328  1.479  1.21e-26   38.5 
0.135102  -0.869   29.509167  1.470  1.17e-26   39 
0.140754  -0.852   28.892659  1.461  1.13e-26   39.5 
0.146659  -0.834   28.309710  1.452  1.1e-26   40 
0.152758  -0.816   27.695582  1.442  1.06e-26   40.5 
0.159153  -0.798   27.090660  1.433  1.02e-26   41 
0.165847  -0.780   26.485167  1.423  9.88e-27   41.5 
0.172838  -0.762   25.882303  1.413  9.54e-27   42.1 
0.180126  -0.744   25.281650  1.403  9.21e-27   42.6 
0.187563  -0.727   24.678368  1.392  8.88e-27   43.1 
0.195446  -0.709   24.076670  1.382  8.57e-27   43.6 
0.203627  -0.691   23.477331  1.371  8.26e-27   44.1 
0.212105  -0.673   22.878865  1.359  7.96e-27   44.6 
0.221030  -0.656   22.284746  1.348  7.67e-27   45 
0.230252  -0.638   21.689141  1.336  7.39e-27   45.5 
0.239920  -0.620   21.101790  1.324  7.11e-27   46 
0.250035  -0.602   20.515563  1.312  6.84e-27   46.5 
0.260446  -0.584   19.930489  1.300  6.59e-27   46.9 
0.271453  -0.566   19.354819  1.287  6.34e-27   47.4 
0.282758  -0.549   18.778306  1.274  6.09e-27   47.8 
0.294657  -0.531   18.209366  1.260  5.86e-27   48.2 
0.307003  -0.513   17.642338  1.247  5.63e-27   48.6 
0.319794  -0.495   17.085624  1.233  5.4e-27   49 
0.333181  -0.477   16.526536  1.218  5.19e-27   49.4 
0.347163  -0.459   15.982813  1.204  4.98e-27   49.8 
0.361739  -0.442   15.439313  1.189  4.78e-27   50.1 
0.376911  -0.424   14.906768  1.173  4.58e-27   50.4 
0.392678  -0.406   14.379895  1.158  4.39e-27   50.7 
0.409039  -0.388   13.859785  1.142  4.21e-27   51 
0.426293  -0.370   13.347483  1.125  4.03e-27   51.3 
0.444142  -0.352   12.843989  1.109  3.86e-27   51.5 
0.462735  -0.335   12.350253  1.092  3.7e-27   51.8 
0.482071  -0.317   11.861547  1.074  3.54e-27   52 
0.502300  -0.299   11.384539  1.056  3.38e-27   52.1 
0.523273  -0.281   10.917947  1.038  3.24e-27   52.3 
0.545138  -0.263   10.458036  1.019  3.09e-27   52.4 
0.568044  -0.246   10.010337  1.000  2.95e-27   52.5 
0.591843  -0.228   9.570553  0.981  2.82e-27   52.6 
0.616682  -0.210   9.141511  0.961  2.69e-27   52.6 
0.642415  -0.192   8.720587  0.941  2.57e-27   52.6 
0.669337  -0.174   8.315288  0.920  2.45e-27   52.6 
0.697449  -0.156   7.916469  0.899  2.34e-27   52.5 
0.726602  -0.139   7.528047  0.877  2.23e-27   52.4 
0.757094  -0.121   7.152576  0.854  2.12e-27   52.2 
0.788776  -0.103   6.786062  0.832  2.02e-27   52 
0.821797  -0.085   6.429329  0.808  1.92e-27   51.8 
0.856156  -0.067   6.084301  0.784  1.83e-27   51.5 
0.892152  -0.050   5.750351  0.760  1.74e-27   51.2 
0.929486  -0.032   5.427008  0.735  1.66e-27   50.8 
0.968456  -0.014   5.112720  0.709  1.58e-27   50.3 
1.008914  0.004   4.813480  0.682  1.5e-27   49.8 
1.051156  0.022   4.519241  0.655  1.42e-27   49.2 
1.095184  0.039   4.238808  0.627  1.35e-27   48.6 
1.141145  0.057   3.966803  0.598  1.28e-27   47.9 
1.188891  0.075   3.708480  0.569  1.22e-27   47.1 
1.238719  0.093   3.457265  0.539  1.16e-27   46.3 
1.290630  0.111   3.215893  0.507  1.1e-27   45.4 
1.344623  0.129   2.984068  0.475  1.04e-27   44.4 
1.400996  0.146   2.761424  0.441  9.9e-28   43.3 
1.459749  0.164   2.548805  0.406  9.39e-28   42.1 
1.520138  0.182   2.344709  0.370  8.9e-28   40.8 
1.584097  0.200   2.149493  0.332  8.44e-28   39.5 
1.651031  0.218   1.962592  0.293  8.01e-28   38 
1.719452  0.235   1.785210  0.252  7.59e-28   36.5 
1.792335  0.253   1.617575  0.209  7.2e-28   34.9 
1.866706  0.271   1.459794  0.164  6.82e-28   33.2 
1.945539  0.289   1.312501  0.118  6.46e-28   31.5 
2.027347  0.307   1.176102  0.070  6.12e-28   29.8 
2.112130  0.325   1.050814  0.022  5.8e-28   28.1 
2.199887  0.342   0.935643  -0.029  5.5e-28   26.4 
2.292107  0.360   0.830856  -0.080  5.21e-28   24.7 
2.388789  0.378   0.736535  -0.133  4.93e-28   23.1 
2.488446  0.396   0.651149  -0.186  4.67e-28   21.6 
