# R     RhoDM      RhoGas     MDM      MGas      TGas      FGrav
0.01402 1.938e-24 1.231e-25 2.934e+42 1.898e+41 10.22 0.7182
0.0147 1.849e-24 1.23e-25 3.224e+42 2.185e+41 10.19 0.7175
0.0154 1.764e-24 1.229e-25 3.542e+42 2.514e+41 10.16 0.7168
0.01615 1.683e-24 1.227e-25 3.891e+42 2.894e+41 10.13 0.716
0.01692 1.606e-24 1.225e-25 4.276e+42 3.33e+41 10.11 0.7152
0.01774 1.532e-24 1.224e-25 4.698e+42 3.832e+41 10.07 0.7144
0.0186 1.461e-24 1.222e-25 5.161e+42 4.41e+41 10.04 0.7135
0.01949 1.394e-24 1.22e-25 5.671e+42 5.074e+41 10.01 0.7126
0.02043 1.33e-24 1.217e-25 6.231e+42 5.837e+41 9.978 0.7117
0.02142 1.269e-24 1.215e-25 6.846e+42 6.715e+41 9.945 0.7107
0.02245 1.21e-24 1.212e-25 7.522e+42 7.723e+41 9.91 0.7096
0.02353 1.155e-24 1.209e-25 8.264e+42 8.882e+41 9.876 0.7085
0.02467 1.102e-24 1.205e-25 9.08e+42 1.021e+42 9.841 0.7074
0.02585 1.051e-24 1.202e-25 9.977e+42 1.174e+42 9.805 0.7062
0.0271 1.003e-24 1.198e-25 1.096e+43 1.35e+42 9.769 0.705
0.02841 9.565e-25 1.193e-25 1.204e+43 1.551e+42 9.733 0.7037
0.02978 9.125e-25 1.189e-25 1.323e+43 1.782e+42 9.696 0.7023
0.03121 8.705e-25 1.183e-25 1.454e+43 2.048e+42 9.659 0.7009
0.03272 8.304e-25 1.178e-25 1.597e+43 2.352e+42 9.623 0.6995
0.03429 7.922e-25 1.172e-25 1.755e+43 2.7e+42 9.586 0.6979
0.03595 7.558e-25 1.165e-25 1.928e+43 3.1e+42 9.55 0.6963
0.03768 7.21e-25 1.158e-25 2.119e+43 3.557e+42 9.514 0.6946
0.03949 6.879e-25 1.151e-25 2.328e+43 4.081e+42 9.479 0.6929
0.0414 6.562e-25 1.142e-25 2.558e+43 4.68e+42 9.445 0.691
0.04339 6.26e-25 1.133e-25 2.81e+43 5.365e+42 9.411 0.6891
0.04549 5.972e-25 1.124e-25 3.088e+43 6.147e+42 9.379 0.6871
0.04768 5.697e-25 1.113e-25 3.392e+43 7.041e+42 9.348 0.685
0.04998 5.435e-25 1.102e-25 3.727e+43 8.06e+42 9.318 0.6829
0.05239 5.185e-25 1.091e-25 4.095e+43 9.222e+42 9.29 0.6806
0.05491 4.947e-25 1.078e-25 4.499e+43 1.055e+43 9.264 0.6783
0.05756 4.719e-25 1.065e-25 4.943e+43 1.205e+43 9.241 0.6758
0.06033 4.502e-25 1.05e-25 5.431e+43 1.377e+43 9.219 0.6732
0.06324 4.295e-25 1.035e-25 5.967e+43 1.571e+43 9.201 0.6706
0.06629 4.097e-25 1.019e-25 6.556e+43 1.792e+43 9.185 0.6678
0.06948 3.909e-25 1.002e-25 7.204e+43 2.043e+43 9.172 0.6649
0.07283 3.729e-25 9.845e-26 7.915e+43 2.327e+43 9.163 0.6619
0.07634 3.557e-25 9.659e-26 8.696e+43 2.647e+43 9.157 0.6588
0.08002 3.393e-25 9.464e-26 9.554e+43 3.01e+43 9.155 0.6555
0.08388 3.237e-25 9.261e-26 1.05e+44 3.419e+43 9.157 0.6521
0.08792 3.088e-25 9.05e-26 1.153e+44 3.879e+43 9.163 0.6486
0.09216 2.946e-25 8.832e-26 1.267e+44 4.398e+43 9.173 0.645
0.0966 2.81e-25 8.606e-26 1.392e+44 4.98e+43 9.187 0.6412
0.1013 2.681e-25 8.374e-26 1.53e+44 5.634e+43 9.207 0.6373
