#             ra            dec     g_final[0]     g_final[1]        w_final       Sc_final       rg_final        z_final           mask
         6.97846      -55.95739    -0.35125077    -0.29154149      2.2043137   2.282442e-10      4.0702104          0.546          11100
       6.9698818     -55.931048    -0.32320995    -0.13403249      1.0273305       3.55e-10      3.6054018           1.02          11100
       6.9799087     -55.926457    -0.22465063     0.26173252      1.5126582  3.2617203e-10      4.7511916          0.851          11100
       6.9702993     -55.937255    -0.66003978    -0.54518497      2.2043137  2.5028261e-10      4.7724778          0.593          11100
        6.971706      -55.94985     0.49280599    -0.10263343      2.2043137  2.6688728e-10      4.6927841          0.635          11100
       6.9802043     -55.927635    -0.45298178    -0.39602102      1.4242531  3.4670495e-10      3.4425651          0.965          11100
       6.9756367      -55.97443   -0.029650391     0.01956263      2.1825579   3.517266e-10      3.9134589          0.998           1101
       6.9781522       -55.9681    -0.10495577    -0.34593012      2.2043137  2.4992469e-10      4.9495838          0.592          11100
       6.9760377     -55.927193      0.1840227   -0.045266376      1.5092688  3.4559399e-10      3.4930921          0.958          11100
        6.971592      -55.96738     0.37575743     0.13256236      1.4829728  3.4482666e-10      4.4265669          0.954          11100
       6.9789847     -55.971453    -0.40777833    -0.11493173      1.5474016   2.938552e-10      3.8032113          0.717          11100
        6.979572     -55.937575    -0.13175586   0.0060054859      1.3107789   3.568863e-10       3.415937          1.034          11100
       6.9779868     -55.942677    -0.23467193    -0.19608876      2.1990151  2.8297326e-10      3.5112995          0.682          11100
       6.9694475     -55.913007     0.33897062    -0.75187142      1.3445226  3.5461391e-10      3.5901674          1.018          11100
       6.9680885     -55.968992     0.20588661    -0.23317676      2.2043137  2.4096927e-10      5.0217524          0.572          11100
       6.9702827     -55.987045    -0.10000164     0.33659885      2.1166903  2.8348817e-10      3.5154513          0.684          11100
       6.9706262     -55.986592    -0.42403491   -0.037031053      2.2043137  2.7515669e-10      3.5484828          0.659          11100
       6.9694253     -55.908192   -0.098091382    -0.02676894      2.2043137  2.8435587e-10      3.7335832          0.687          11100
       6.9764993      -55.92662     0.18705712     0.23131609      2.2043137  2.4715491e-10      4.1006412          0.586          11100
       6.9690995     -55.955682    -0.60941028     0.38316609       2.047421  2.8095434e-10      4.5288974          0.676          11100
       6.9685093     -55.989305    0.076472443     0.80027546      2.2043137  2.3223163e-10      5.1009058          0.554          11100
        6.969372     -55.943613    0.019088547     0.26622568      2.4260446  3.2233177e-10      4.4946328          0.832          11010
       6.9797227     -55.936632    -0.84158706    -0.48118401      1.9712804  2.9755102e-10      4.4809873          0.731          11100
       6.9700385      -55.91212    -0.31553982     0.39897363      2.2043137  2.2743239e-10        3.99582          0.544          11100
       6.9702882     -55.931895     -0.3612465    0.031562657      1.7965975  3.1303658e-10      3.9333201          0.791          11100
       6.9764593     -55.987928     0.22900407    0.013820949      1.6049366  3.0642937e-10      4.0441038          0.764          11100
        6.971206     -55.910117   -0.044912648     0.24278043      1.5119448  3.3865859e-10      3.5968775          0.917          11100
        6.980534     -55.943593   -0.014274648    -0.42797673      2.2043137  2.3604245e-10      4.7399096          0.562          11100
       6.9760357     -55.968227     0.18264943     -0.4113591      2.0090789  2.9715249e-10      3.7771411          0.729          11100
       6.9680117     -55.985068    -0.29103293     0.41189538      1.7841923  3.2833077e-10      3.5027079          0.861          11100
       6.9730818     -55.947973    -0.21037349    0.030745843      2.6588177  2.8971871e-10      4.7009903          0.704          11001
       6.9760968     -55.989567     0.70123368    -0.34923676       1.374273  3.4879605e-10      3.2111661          0.978          11100
       6.9749908      -55.92891    0.058701007    -0.60491843      2.3321085  3.3808364e-10      3.9926749          0.913           1101
       6.9717695     -55.921095    -0.10960727     0.30490004      2.2043137  2.2008524e-10      3.6597037           0.53          11100
       6.9751605     -55.913362      0.7915197     0.66122133      1.1247419  3.5735875e-10        3.87696          1.037          11100
       6.9719233     -55.966165     0.12672635    -0.53865111      2.2043137  2.9624283e-10       4.119953          0.726          11100
        6.968406      -55.96843   -0.045029722     0.41736956      1.5587407  3.3777667e-10      3.7292743          0.912          11100
        6.975778     -55.964095    0.079368548    -0.10891187      2.1947036  3.5257017e-10      4.2716204          1.004          11001
       6.9718923     -55.947997    -0.23777719    -0.47518312      2.4488838  3.0485471e-10      3.9604232          0.758          11010
       6.9743557     -55.981848     0.19660411   -0.021485478      2.2043137  2.6432665e-10      4.3238758          0.628          11100
       6.9784768     -55.929767    -0.20488604    -0.39325635      2.1665618  2.6241233e-10      4.0910753          0.623          11100
       6.9703125     -55.918728    -0.21005786  -0.0066096964      1.9546591       3.55e-10      4.3133291           1.02          11010
       6.9751902     -55.981983     0.37750929     0.23606063      1.3490578  3.5070189e-10      3.5951848          0.992          11100
       6.9694728     -55.936413    -0.68795193     0.63814466      1.9749206  2.5647959e-10      4.1399316          0.609          11100
